firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,gsisPlayer.person,slug,gameTime
Ryan,Kelly,C,78,STARTED,2019,32013030-2d30-3033-3233-383312460536,00-0032383,KEL738596,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Joe,Haeg,T/G,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-3139895897ed,00-0032419,HAE223809,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Matthias,Farley,S,41,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-393649531661,00-0032496,FAR160452,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Roger,Lewis,WR,08O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3236-3539a190725e,00-0032659,LEW642806,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Luke,Rhodes,LS,46,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-3533bb0e04ce,00-0032753,RHO474400,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Evan,Boehm,G/C,67,STARTED,2019,32013030-2d30-3033-3237-3737f47d5105,00-0032777,BOE217532,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Dadi,Nicolas,DE,95,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3237-39367d4b328f,00-0032796,NIC780920,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Rolan,Milligan,S,42,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3238-33304ea374a7,00-0032830,MIL628545,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jonathan,Williams,RB,33,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3735f79c2b16,00-0032975,WIL384555,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Marcus,Johnson,WR,16,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3239-3830c7ad17c3,00-0032980,JOH490446,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jihad,Ward,DT,51,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-3436ffc05f1f,00-0033046,WAR208421,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Le'Raven,Clark,T/G,62,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-36357e0e80f3,00-0033065,CLA432150,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Derrick,Kindred,S,36,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-3736db35c1bf,00-0033076,KIN192537,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jacoby,Brissett,QB,07,STARTED,2019,32013030-2d30-3033-3331-3139ba7e51e2,00-0033119,BRI516391,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Mo,Alie-Cox,TE,81,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-31373e79a326,00-0033217,ALI177980,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jake,Eldrenkamp,G,60,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-3435df17191c,00-0033245,ELD550110,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Zach,Pascal,WR,14,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-3531a1077ea2,00-0033251,PAS035497,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Rigoberto,Sanchez,P,08P,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-363932ac56e5,00-0033269,SAN093508,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Phillip,Walker,QB,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3332-37356a2bb495,00-0033275,WAL291489,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Kenny,Moore,CB,23,STARTED,2019,32013030-2d30-3033-3333-393382d4ba0b,00-0033393,MOO465364,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ahmad,Thomas,LB,54,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3334-343788b40538,00-0033447,THO017083,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Quincy,Wilson,CB,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-3434cbb7aa6c,00-0033544,WIL774506,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Nate,Hairston,CB,27,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-36384d08952e,00-0033568,HAI741950,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Anthony,Walker,LB,50,STARTED,2019,32013030-2d30-3033-3335-3730e591db80,00-0033570,WAL077409,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Chad,Kelly,QB,06,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3335-3937437f7cf8,00-0033597,KEL516446,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Krishawn,Hogan,WR,83,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3336-30343c5f5b6e,00-0033604,HOG023409,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Nate,Theaker,G,69,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3336-3633d22940fe,00-0033663,THE052671,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Carroll,Phillips,DE,59,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3336-393319b1cc61,00-0033693,PHI126561,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Malik,Hooker,S,29,STARTED,2019,32013030-2d30-3033-3338-3737241ce52e,00-0033877,HOO298753,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Antonio,Garcia,T,79,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-323293199e55,00-0033922,GAR054848,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
D'Onta,Foreman,RB,40O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-3235bdc5cf27,00-0033925,FOR392618,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Marlon,Mack,RB,25,STARTED,2019,32013030-2d30-3033-3339-3531e583db9e,00-0033951,MAC338783,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Grover,Stewart,DT,90,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3339-3532b42e1aff,00-0033952,STE757436,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Al-Quadin,Muhammad,DE,97,STARTED,2019,32013030-2d30-3033-3339-3634ebef6075,00-0033964,MUH405540,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Skai,Moore,LB,55,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3430-39309f358336,00-0034090,MOO677269,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
George,Odum,S,30,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3430-3931c1974e30,00-0034091,ODU401791,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Quenton,Nelson,G/C,56,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3433-34327f32df79,00-0034342,NEL600785,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Kemoko,Turay,DE,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3534e4ed658b,00-0034354,TUR012037,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Tyquan,Lewis,DE/DT,94,STARTED,2019,32013030-2d30-3033-3433-35399055bb28,00-0034359,LEW752680,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Nyheim,Hines,RB,21,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3433-3637b2402e26,00-0034367,HIN226970,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Daurice,Fountain,WR,10,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3433-39355fa1d7c0,00-0034395,FOU164323,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jordan,Wilkins,RB,20,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3434-303045986240,00-0034400,WIL088337,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Deon,Cain,WR,11,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3434-30366d004de1,00-0034406,CAI129929,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Matthew,Adams,LB,49,STARTED,2019,32013030-2d30-3033-3434-323431944140,00-0034424,ADA499253,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Zaire,Franklin,LB,44,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3434-333161a4cdd9,00-0034431,FRA561925,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jordan,Veasy,WR,02,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3436-3639e3b2745f,00-0034669,VEA649935,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Braden,Smith,G/T,72,STARTED,2019,32013030-2d30-3033-3438-3336361c65fc,00-0034836,SMI080765,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Darius,Leonard,LB,53,STARTED,2019,32013030-2d30-3033-3438-3436a77118de,00-0034846,LEO425070,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ben,Banogu,DE,52,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3439-36395fbdd01a,00-0034969,BAN737249,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
E.J.,Speed,LB,45,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3439-3837da66b039,00-0034987,SPE175382,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Gerri,Green,DE,91,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3439-3937228f35c6,00-0034997,GRE237309,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jackson,Barton,T,71O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3530-3033c87af693,00-0035003,BAR782282,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Javon,Patterson,C,65,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3530-3035e8160039,00-0035005,PAT339102,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ashton,Dulin,WR,09O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3530-32318bcae2be,00-0035021,DUL521764,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Penny,Hart,WR,01,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3530-3232babf32f1,00-0035022,HAR695794,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Hale,Hentges,TE,86,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3530-3235b4eb367d,00-0035025,HEN810974,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Cole,Hedlund,K,09K,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3531-37317f62a0bd,00-0035171,HED596088,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Shakial,Taylor,CB,47D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3531-37324ec9080c,00-0035172,TAY697576,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Sterling,Shippy,DT,76,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3531-3738ffbf7af9,00-0035178,SHI516040,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Khari,Willis,S,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3535-3330411dab8a,00-0035530,WIL605004,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Marvell,Tell,CB,39,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3535-333467ea0543,00-0035534,TEL178130,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Rock,Ya-Sin,CB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3536-3337c19c80d4,00-0035637,YAS738004,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Parris,Campbell,WR,15,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3536-3339124ebd06,00-0035639,CAM230411,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Isaiah,Langley,CB,40D,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3536-373518cd5f92,00-0035675,LAN593140,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Bobby,Okereke,LB,58,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3536-383779022a97,00-0035687,OKE400459,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Aca'Cedric,Ware,RB,38O,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3537-3136feb11559,00-0035716,WAR322176,Indianapolis Colts,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Drew,Stanton,QB,05,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3534-3330104af661,00-0025430,STA482517,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Britton,Colquitt,P,04,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Morgan,Burnett,SS,42,STARTED,2019,32013030-2d30-3032-3736-373610c584f3,00-0027676,BUR426788,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Charley,Hughlett,LS,47,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3930-3038191b1b93,00-0029008,HUG732560,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Olivier,Vernon,DE,54,STARTED,2019,32013030-2d30-3032-3936-393349c3db48,00-0029693,VER613364,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Christopher,Hubbard,T,74,STARTED,2019,32013030-2d30-3032-3939-3633f9e311fc,00-0029963,HUB174074,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Ray-Ray,Armstrong,LB,52,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3030-35307a6d2528,00-0030050,ARM649391,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
J.C.,Tretter,C,64,STARTED,2019,32013030-2d30-3033-3030-3736f297739d,00-0030076,TRE768289,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Eric,Kush,G,72,STARTED,2019,32013030-2d30-3033-3030-39343a46bc23,00-0030094,KUS182145,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Demetrius,Harris,TE,88,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3031-3535bd049f8c,00-0030155,HAR363756,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Sheldon,Richardson,DT,98,STARTED,2019,32013030-2d30-3033-3035-3733d0487351,00-0030573,RIC621130,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Phillip,Gaines,CB,28,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3135bbd10997,00-0031015,GAI428981,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Terrance,Mitchell,CB,39,STARTED,2019,32013030-2d30-3033-3130-3937b6f75683,00-0031097,MIT731784,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Adarius,Taylor,LB,57,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-32302a2f1f0a,00-0031120,GLA303597,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Bryan,Witzmann,G,71,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-3532231a4e1f,00-0031152,WIT821930,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Odell,Beckham,WR,13,STARTED,2019,32013030-2d30-3033-3132-3335cebc9f07,00-0031235,BEC573252,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Chris,Smith,DE,50,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3634dc4d3e60,00-0031264,SMI141571,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
T.J.,Carrie,CB,38,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-3639766122e4,00-0031269,CAR470432,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Christian,Kirksey,LB,58,STARTED,2019,32013030-2d30-3033-3133-3631e1e83681,00-0031361,KIR636906,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jarvis,Landry,WR,80,STARTED,2019,32013030-2d30-3033-3133-3832ba34ef7f,00-0031382,LAN163029,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Greg,Robinson,T,78,STARTED,2019,32013030-2d30-3033-3133-383650e0f568,00-0031386,ROB501818,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Garrett,Gilbert,QB,03,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3133-3935f835967d,00-0031395,GIL072219,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Joel,Bitonio,G,75,STARTED,2019,32013030-2d30-3033-3134-3236e0dc80a7,00-0031426,BIT316411,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jermaine,Whitehead,S,35,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-313245007638,00-0031512,WHI621475,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Jaelen,Strong,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3135-3630c5d1ae8a,00-0031560,STR627834,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Kendall,Lamm,T,70,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-32313432f23b,00-0031921,LAM628478,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Carl,Davis,DT,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-333893453a72,00-0031938,DAV212103,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Damarious,Randall,S,23,STARTED,2019,32013030-2d30-3033-3232-3531762584db,00-0032251,RAN052747,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Joe,Kerridge,FB,49O,STARTED,2019,32013030-2d30-3033-3233-3735766af1c9,00-0032375,KER602889,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
Juston,Burris,CB,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-303349c0b79f,00-0032403,BUR608462,Cleveland Browns,,browns-at-colts-2019-pre-2,2019-08-17T20:00:00.000Z
